MSSV,Tin học,Nhập môn Công nghệ thông tin,Pháp luật,Giáo dục quốc phòng,Kỹ năng học tập,Giáo dục thể chất - Vovinam,Tiếng Anh 1.1,Tiếng Anh 1.2,Tiếng Anh 2.1,Tiếng Anh 2.2,Nhập môn lập trình,Xây dựng trang Web,Cơ sở dữ liệu,Lập trình PHP cơ bản,Lập trình cơ sở với JavaScript,Chính trị,Thiết kế Web với HTML5 & CSS3,Dự án mẫu (TKTW),Lập trình PHP 1,Thiết kế UI/UX,Kỹ năng phát triển bản thân,Lập trình Javascript nâng cao,Quản trị website,Lập trình ECMAScript,Dự án 1 (TKTW),Marketing trên Internet,NodeJS & Restful Web Service,Lập trình TypeScript,Lập trình Front-End Framework 1,Lập trình Front-End Framework 2,Khởi sự doanh nghiệp,Kỹ năng làm việc,Thực tập tốt nghiệp (TKTW),Dự án tốt nghiệp,,attendance_rate,assignment_avg,quiz_avg,late_submission,missed_deadlines
PS37469,9.7,9.0,8.2,8.8,8.3,8.4,8.0,7.0,6.9,8.2,8.8,9.2,9.6,9.1,9.4,8.7,1.0,9.2,8.1,9.4,8.5,1.0,8.8,,8.1,9.4,,,,,6.3,8.1,1.0,,,0.75,6.8,5.4,3,0
PS37561,8.5,8.0,7.2,6.7,,8.0,8.5,6.7,6.9,7.5,9.0,7.4,7.1,8.3,7.8,8.0,8.2,8.0,6.3,7.8,8.1,6.0,8.3,,5.8,6.7,,,,,6.1,7.9,1.0,,,0.70,7.2,6.7,2,1
PS37566,1.0,9.3,7.7,8.5,,8.1,8.5,7.7,8.3,8.0,9.5,9.0,8.9,,8.7,9.5,9.0,8.5,8.7,8.3,,7.3,8.6,,8.2,8.6,,,,,8.8,,1.0,,,0.72,5.7,7.3,2,1
PS37567,1.0,8.4,7.8,7.7,,8.1,*,*,7.9,8.4,9.7,8.2,7.6,,8.3,6.8,6.0,7.5,7.7,8.6,,9.5,8.4,,6.9,8.2,,,,,8.7,,1.0,,,0.76,6.9,7.1,3,1
PS37569,9.0,9.1,7.7,6.8,,6.8,8.7,8.0,7.6,8.0,8.8,8.5,7.1,,9.0,9.0,7.0,7.8,8.7,7.9,,9.8,7.4,,6.7,7.6,,,,,7.0,,1.0,,,0.75,6.7,5.5,1,0
PS37587,1.0,8.9,8.7,*,,7.3,7.5,6.5,6.9,6.4,8.1,7.5,7.3,,6.0,7.7,5.0,7.5,7.2,8.1,,7.5,8.2,,5.6,7.4,,,,,6.7,,1.0,,,0.37,5.9,5.2,3,1
PS37591,1.0,9.0,8.3,8.7,8.1,8.2,*,*,*,8.9,8.8,8.0,8.3,9.1,8.5,9.8,9.7,7.7,7.4,8.4,8.6,8.0,8.2,8.0,7.2,9.1,7.3,8.4,7.9,8.2,7.5,7.8,1.0,7.7,,0.84,5.1,5.2,1,0
PS37606,8.0,8.4,7.5,*,,7.3,7.4,7.1,7.5,7.4,9.3,6.4,6.4,,7.1,8.2,6.0,8.0,6.9,7.9,,6.5,7.0,,5.8,7.8,,,,,7.2,,1.0,,,0.73,6.0,7.0,3,1
PS37608,9.9,8.3,8.0,7.0,8.1,8.1,*,*,*,7.9,9.1,8.0,8.6,9.9,7.8,9.2,7.5,8.0,9.2,8.5,8.0,9.7,7.4,,7.1,7.0,,,,,7.0,7.8,1.0,,,0.84,7.0,5.5,3,0
PS37640,8.7,8.2,7.3,6.5,7.5,8.0,*,*,*,9.2,8.1,8.0,8.4,7.7,8.3,9.3,6.7,6.8,6.4,6.9,7.5,5.8,6.0,,6.2,6.9,,,,,6.7,5.9,1.0,,,0.84,6.0,6.5,3,1
PS37642,8.5,7.4,7.3,8.8,7.7,7.8,6.6,7.0,7.5,7.0,7.3,6.7,7.6,7.1,7.3,7.5,6.0,7.0,6.0,7.4,6.5,7.0,5.7,,6.6,6.8,,,,,6.3,6.2,1.0,,,0.65,6.5,6.3,1,0
PS37668,1.0,8.3,7.7,8.7,,8.1,8.5,7.4,7.7,7.2,8.2,6.9,7.3,,7.8,9.2,6.0,7.3,7.9,8.1,,7.5,8.1,,7.2,8.8,,,,,7.5,,1.0,,,0.75,5.5,6.8,2,1
PS37678,8.0,8.2,7.2,7.3,,7.2,7.7,6.8,7.4,7.4,8.0,7.7,6.5,,8.3,7.3,6.0,7.0,6.4,7.9,,6.5,8.2,,6.2,6.3,,,,,7.4,,1.0,,,0.85,6.6,7.4,1,1
PS37685,9.0,7.8,8.0,6.7,,7.4,8.7,7.5,8.0,6.8,9.4,7.2,7.8,,7.3,7.8,7.0,6.3,7.3,7.1,,8.5,7.4,,5.9,7.1,,,,,8.5,,1.0,,,0.78,6.0,6.3,2,0
PS37701,1.0,8.8,6.5,8.0,,8.0,8.1,7.3,7.5,7.4,1.0,9.3,9.0,,8.6,8.8,9.2,9.3,9.5,8.0,,9.5,8.2,,6.4,8.3,,,,,8.2,,1.0,,,0.65,6.7,6.2,1,1
PS37704,7.6,6.0,1.0,6.0,5.1,7.2,5.6,,,,6.1,5.6,7.2,6.7,6.2,0.5,7.0,6.0,6.6,6.1,,6.0,5.7,5.9,5.7,6.0,5.1,6.3,6.0,5.7,6.3,6.7,,5.0,,0.65,7.2,6.6,3,1
PS37782,7.5,8.4,7.5,8.7,6.5,7.1,8.1,8.3,7.4,7.5,9.9,6.4,3.4,7.4,7.8,8.7,5.0,1.0,7.2,4.3,6.6,7.0,7.1,5.9,6.5,6.7,6.4,7.5,6.6,7.0,1.0,6.9,,3.5,,0.72,5.6,5.9,3,1
PS37784,8.0,7.8,7.0,5.5,7.2,7.6,6.8,7.6,5.3,6.4,7.3,5.6,2.8,,4.5,6.5,,0.8,0.8,6.5,6.8,,6.6,2.1,0.5,0.2,3.0,2.3,,,5.9,,,,,0.70,5.4,6.5,2,0
PS37891,7.0,8.9,7.2,6.5,,7.8,7.7,6.4,6.2,6.4,7.6,8.8,7.1,,8.3,8.2,5.0,7.0,6.1,7.9,,6.5,7.4,,5.6,7.3,,,,,7.8,,1.0,,,0.78,5.9,5.5,1,0
PS37956,8.8,8.1,9.5,8.8,7.2,7.8,6.0,7.3,6.6,6.0,6.4,6.9,7.8,6.5,7.1,5.8,6.5,8.0,6.2,6.3,7.0,5.9,,,6.6,6.7,,,,,8.4,6.2,1.0,,,0.70,6.9,5.9,2,1
PS37996,8.4,8.7,7.2,7.3,7.1,7.4,6.7,6.4,7.2,6.8,7.6,7.2,7.6,7.1,5.8,8.2,7.7,6.8,6.0,7.3,6.1,8.0,5.8,,6.8,6.6,,,,,6.1,5.9,1.0,,,0.32,5.8,4.6,3,1
PS37997,8.8,8.8,8.2,9.0,7.7,8.6,*,*,*,7.8,8.7,7.5,8.4,7.3,7.3,8.2,6.7,6.7,6.4,8.4,8.3,6.0,7.2,6.5,6.0,8.0,5.9,6.9,6.8,6.5,7.9,7.7,1.0,6.3,,0.74,6.2,7.1,2,0
PS37998,8.8,8.8,8.2,9.0,7.7,8.6,*,*,*,7.8,8.7,7.5,8.4,7.3,7.3,8.2,6.7,6.7,6.4,8.4,8.3,6.0,7.2,6.5,6.0,8.0,5.9,6.9,6.8,6.5,7.9,7.7,1.0,6.3,,0.69,6.1,7.2,2,0
PS38004,1.0,9.0,6.8,9.0,7.8,8.3,7.7,7.8,8.4,8.0,8.9,7.9,8.8,9.2,7.5,7.7,8.8,7.9,7.5,8.3,8.0,9.8,6.6,7.8,7.2,7.7,7.6,8.2,8.4,8.3,8.2,8.0,1.0,7.7,,0.75,5.3,5.2,2,0
PS38044,1.0,9.0,6.8,9.0,7.8,8.3,7.7,7.8,8.4,8.0,8.9,7.9,8.8,9.2,7.5,7.7,8.8,7.9,7.5,8.3,8.0,9.8,6.6,7.8,7.2,7.7,7.6,8.2,8.4,8.3,8.2,8.0,1.0,7.7,,0.81,6.3,7.1,3,1
PS38048,8.7,8.9,7.5,8.0,8.4,8.3,7.6,7.3,6.8,7.8,8.9,8.7,8.9,9.1,9.3,9.8,8.5,7.9,7.6,7.9,8.2,1.0,6.7,,6.9,7.5,,,,,6.5,8.0,1.0,,,0.69,6.2,5.4,3,0
PS38066,9.9,8.4,9.0,8.7,8.4,8.3,8.0,8.6,8.6,8.2,9.6,9.3,8.5,9.2,9.4,1.0,9.5,9.3,8.7,9.3,7.9,1.0,8.6,,8.2,9.3,,,,,7.2,8.1,1.0,,,0.78,5.8,6.5,2,1
PS38084,7.0,8.2,7.7,7.0,7.8,7.9,6.3,7.4,5.9,7.3,8.3,6.0,8.2,7.3,9.0,8.5,8.0,6.2,5.9,9.1,7.1,1.0,8.2,,7.3,7.3,,,,,8.2,6.3,1.0,,,0.79,7.1,7.1,2,1
PS38092,8.9,8.3,6.8,8.5,7.8,8.0,7.6,6.7,6.2,6.5,9.0,7.1,8.2,6.7,7.1,8.7,5.7,6.6,8.4,6.9,7.6,7.0,5.9,5.9,5.7,7.0,6.2,7.0,7.7,8.5,7.0,8.0,1.0,7.2,,0.79,7.1,6.1,2,0
PS38095,5.6,7.1,8.0,7.7,1.2,,5.9,5.6,5.8,6.1,7.1,,,,,,,,,,,,1.8,,,1.2,,,,,,,,,,0.84,6.3,6.2,2,1
PS38101,8.9,8.3,7.7,6.3,8.5,7.5,7.8,7.0,6.9,7.7,7.9,7.0,7.1,7.7,5.9,8.5,8.5,7.3,6.5,6.7,7.7,6.0,6.1,6.3,5.9,7.7,6.3,7.3,7.3,8.1,7.0,7.8,1.0,8.4,,0.79,7.2,6.9,3,0
PS38102,9.4,7.5,7.0,7.0,8.0,7.5,7.7,7.3,7.0,7.3,4.2,6.0,6.2,6.6,1.8,,6.5,5.0,1.1,2.5,7.0,1.0,1.7,0.7,,0.4,,,,,,,,,,0.76,5.6,5.5,2,0
PS38130,5.8,8.1,6.2,5.3,7.4,8.2,*,*,7.4,7.4,6.6,6.9,6.2,6.8,5.8,8.5,7.2,7.5,6.0,6.6,8.0,6.0,7.1,6.8,5.7,7.4,5.5,7.1,6.4,6.3,6.3,7.0,1.0,7.1,,0.85,7.2,6.9,3,1
PS38137,7.8,8.3,7.5,7.7,7.7,7.5,6.6,7.3,6.6,7.1,8.0,7.1,8.0,7.7,8.3,1.0,8.7,6.2,6.5,7.4,7.9,6.0,6.8,6.4,5.9,7.6,6.7,8.5,6.8,7.4,7.2,7.7,1.0,7.4,,0.81,5.3,6.5,3,0
PS38149,1.0,9.1,7.3,9.0,9.0,8.7,9.0,8.6,8.7,8.5,9.4,8.5,9.5,9.0,8.1,8.2,8.5,8.0,7.8,7.3,8.8,1.0,6.6,,6.9,7.3,,,,,6.7,8.0,1.0,,,0.71,5.5,6.7,1,0
PS38174,7.8,8.0,8.0,6.5,8.1,7.1,7.0,6.4,6.4,7.0,7.3,7.1,8.3,8.4,7.5,9.8,7.7,6.0,6.0,6.8,7.5,6.0,6.2,6.4,5.9,6.7,6.2,7.5,6.7,5.9,6.9,7.2,1.0,6.0,,0.74,5.1,6.5,3,0
PS38200,8.2,8.4,6.5,*,7.7,7.9,6.6,5.1,5.4,7.2,8.1,7.0,7.1,8.8,6.6,8.5,6.5,8.7,6.5,8.1,7.4,8.0,6.6,5.7,6.1,7.3,5.7,7.4,8.0,8.7,7.0,7.3,1.0,9.1,,0.70,6.2,5.0,1,0
PS38206,7.8,8.3,6.3,7.3,7.7,7.4,6.7,7.0,7.2,7.4,8.3,7.0,7.6,7.2,7.3,8.7,7.2,6.5,5.8,7.2,7.7,7.0,6.6,,6.5,6.7,,,,,6.2,7.6,1.0,,,0.85,5.2,6.8,3,1
PS38243,1.0,9.1,8.3,8.7,8.1,7.5,8.3,8.2,8.4,7.9,8.7,8.6,8.9,9.2,8.0,9.0,9.5,8.7,7.4,7.3,8.1,1.0,6.7,,6.6,7.3,,,,,7.0,7.8,1.0,,,0.79,5.4,5.8,3,0
PS38249,9.9,8.3,8.0,6.5,6.9,8.2,7.7,6.9,7.9,7.7,8.5,8.2,8.8,7.7,7.8,9.0,8.7,6.5,6.4,8.6,7.7,7.0,6.3,,6.9,9.2,,,,,6.4,7.5,1.0,,,0.65,5.6,7.3,2,1
PS38277,8.9,8.4,6.0,7.7,7.6,7.7,7.4,7.6,7.7,8.0,8.0,9.1,8.2,7.9,8.7,9.2,9.2,7.8,7.5,8.6,7.9,8.0,6.7,,7.2,9.2,,,,,7.1,7.6,1.0,,,0.66,6.9,6.5,1,1
PS38292,8.8,8.6,8.7,8.0,8.0,7.7,*,*,*,7.7,9.7,7.8,8.8,8.8,7.6,9.8,8.2,9.5,7.3,7.1,8.0,1.0,7.3,,6.3,7.5,,,,,6.4,7.2,1.0,,,0.68,5.3,7.1,2,1
PS38332,7.6,7.2,7.7,7.0,6.6,6.7,7.6,8.2,7.8,7.4,6.8,6.9,7.3,7.2,8.0,8.7,8.7,5.5,5.6,6.8,7.7,6.0,6.7,6.3,5.9,6.3,6.6,8.1,6.9,8.2,7.9,7.8,1.0,8.4,,0.84,5.5,6.0,2,0
PS38342,1.0,9.3,7.3,9.2,8.1,7.5,*,*,*,8.1,9.8,9.4,9.4,9.7,9.4,9.0,1.0,8.8,7.5,8.3,8.4,8.9,7.6,,8.3,8.3,,,,,6.4,7.9,1.0,,,0.67,6.9,5.3,1,0
PS38355,7.6,7.6,6.5,8.8,7.5,7.7,7.5,7.8,6.7,6.4,7.9,6.3,6.8,7.7,5.9,8.0,5.0,,7.0,6.1,7.8,7.6,5.4,,7.3,6.6,7.2,7.7,2.2,0.6,7.0,7.5,1.0,7.5,,0.80,6.2,5.4,3,1
PS38364,8.2,8.0,9.0,9.0,6.9,7.6,7.8,7.2,7.5,6.7,7.1,7.2,7.9,7.7,5.5,9.0,7.1,7.1,6.9,6.8,7.6,7.9,5.5,,6.2,7.1,,,,,6.3,6.7,,,,0.71,6.9,5.3,2,0
PS38412,8.0,7.8,7.5,7.3,6.6,8.1,6.4,6.4,6.6,5.9,7.1,8.1,8.3,7.1,7.5,8.7,7.7,6.0,8.0,6.7,7.6,6.0,6.2,6.3,6.1,6.4,6.3,7.7,6.9,6.2,7.0,7.3,1.0,6.6,,0.80,5.3,7.1,3,0
PS38421,8.7,7.7,8.2,7.8,7.1,8.2,8.0,8.0,7.6,7.7,7.3,6.9,8.6,8.4,8.9,9.0,8.5,9.0,7.4,7.8,8.4,1.0,7.1,,7.5,9.0,,,,,6.9,7.8,1.0,,,0.82,6.9,5.2,1,0
PS38435,8.7,9.0,6.7,*,7.4,7.5,*,*,7.3,8.0,7.7,7.4,8.0,7.0,7.3,7.7,5.8,8.4,5.9,6.9,7.6,6.5,6.2,6.3,5.7,7.4,5.3,6.6,7.1,7.1,7.6,8.7,,7.2,,0.75,5.8,7.1,1,1
PS38442,9.4,8.3,6.2,9.0,7.4,8.2,6.8,7.4,5.9,6.4,7.2,7.4,7.5,6.9,6.2,7.0,7.0,6.5,5.6,8.0,7.4,6.0,8.2,6.5,6.4,8.2,7.0,6.3,8.0,6.3,6.9,7.4,,8.4,,0.71,5.1,7.3,3,1
PS38450,7.7,7.9,6.8,9.3,7.2,7.7,6.8,7.4,6.7,5.5,6.5,6.8,7.3,7.4,5.7,7.8,6.5,6.1,6.2,5.7,7.4,1.0,5.4,3.5,1.7,6.3,,,,,,,,,,0.75,7.3,6.8,1,0
PS38466,9.8,7.6,9.5,7.7,6.6,7.2,7.3,7.0,7.2,7.8,7.5,7.4,7.1,7.1,7.5,9.0,7.2,6.8,7.0,6.4,6.9,6.0,5.8,6.3,4.3,6.6,,,,,,,,,,0.83,5.6,7.3,1,1
PS38476,9.9,8.2,8.5,7.7,6.6,7.6,8.2,7.7,7.9,7.6,9.5,8.6,8.7,7.7,8.7,9.5,7.7,7.6,6.6,8.2,7.6,1.0,6.8,,7.5,8.9,,,,,6.6,6.7,1.0,,,0.79,6.9,6.4,2,0
PS38485,8.0,8.0,8.8,7.8,7.3,7.4,7.0,7.0,7.0,7.1,7.4,6.8,8.0,7.0,7.6,8.5,6.7,7.0,6.3,7.1,7.6,6.0,6.1,6.1,6.4,6.5,6.4,8.1,7.1,7.9,7.4,7.3,1.0,7.6,,0.71,6.8,7.2,2,1
PS38487,5.8,8.8,6.8,,7.4,7.8,7.6,6.0,,,9.7,,,,,9.2,,,,,,,0.1,,,8.6,,,,,7.1,7.9,,,,0.78,5.2,5.3,1,0
PS38490,1.0,8.4,8.7,6.8,6.9,7.1,6.6,5.9,6.9,6.1,9.7,7.2,6.7,7.7,6.0,1.0,5.5,8.4,5.6,6.8,6.5,6.0,6.5,6.6,5.7,6.1,5.8,7.2,6.1,6.6,7.0,8.0,1.0,8.0,,0.70,6.1,5.3,3,0
PS38491,8.6,8.1,6.3,9.7,6.8,8.3,7.0,6.9,4.1,,7.8,6.1,6.7,7.0,5.8,7.8,6.0,,5.4,,2.2,1.0,,,,,,,,,,,,,,0.78,5.3,6.2,2,0
PS38499,8.7,8.3,5.3,,7.5,7.4,7.5,6.2,,,7.8,,,,,8.7,,,,,,,0.1,,,8.4,,,,,7.3,7.9,,,,0.50,7.0,3.1,2,1
PS38517,8.0,9.1,7.5,7.3,7.4,7.8,7.0,7.5,7.3,6.2,5.8,6.9,6.9,5.9,7.3,8.3,5.6,7.5,5.4,6.8,6.7,5.1,7.3,6.2,6.6,6.1,5.9,6.8,6.5,6.7,7.2,7.0,1.0,6.5,,0.74,5.8,5.1,1,1
PS38522,7.0,8.6,8.0,6.2,7.4,7.2,6.4,6.2,7.1,7.2,8.6,8.2,6.6,7.1,8.1,8.8,7.5,6.0,6.0,6.6,5.7,5.6,6.9,6.8,6.6,6.9,5.7,6.8,6.4,7.7,6.9,6.9,1.0,6.6,,0.84,7.3,5.7,1,1
PS38561,7.2,8.4,7.3,7.8,7.6,7.8,7.5,7.9,7.6,6.9,6.1,7.2,6.5,6.2,8.1,7.8,5.6,5.8,5.5,7.1,6.3,5.0,7.4,6.9,6.8,5.9,5.7,6.0,6.2,6.8,7.0,7.2,1.0,6.0,,0.66,5.3,6.7,1,0
PS38587,8.7,9.2,7.7,6.0,7.8,7.1,7.6,7.7,7.8,7.4,6.8,7.9,7.0,6.6,7.7,8.8,6.7,7.5,5.8,8.2,7.1,5.1,8.2,6.4,6.8,6.7,6.3,6.3,5.5,7.2,7.0,7.1,1.0,7.4,,0.71,5.6,6.7,2,1
PS38589,9.0,8.6,7.5,7.0,8.0,7.7,7.1,8.0,8.2,7.6,8.2,8.0,7.8,6.9,8.1,8.2,6.1,8.0,7.3,8.0,7.4,8.8,8.1,,6.1,7.6,,,,,8.2,7.9,1.0,,,0.84,6.0,5.8,2,0
PS38597,7.9,8.7,7.8,6.0,7.2,7.9,6.0,6.5,5.8,7.1,8.0,7.2,6.7,6.0,8.1,9.3,5.7,6.8,6.4,8.2,7.1,7.4,7.1,,6.2,7.7,,,,,8.7,5.0,1.0,,,0.82,6.8,5.0,3,1
PS38619,8.0,8.4,6.2,8.2,7.4,8.1,7.5,7.1,6.7,7.6,7.4,7.6,7.2,6.8,8.2,9.7,6.4,6.0,7.4,8.4,7.5,9.5,9.3,,8.3,8.5,,,,,9.2,7.9,1.0,,,0.84,7.2,5.7,3,1
PS38621,9.9,9.1,7.5,6.0,7.0,8.0,6.6,7.1,,,7.5,7.6,9.0,6.6,7.2,8.7,5.8,5.2,5.9,7.9,8.2,5.1,8.0,5.8,6.3,8.5,5.6,7.6,5.7,6.2,8.6,6.1,1.0,7.0,,0.67,5.5,6.9,3,0
PS38622,1.0,8.3,8.2,7.3,7.8,8.0,7.2,7.7,6.0,7.3,8.7,9.2,7.3,7.2,8.1,9.2,5.7,9.5,6.2,8.1,7.5,9.0,8.4,,6.7,8.1,,,,,8.1,7.8,1.0,,,0.84,5.1,5.3,2,1
PS38634,7.5,8.5,7.5,8.2,7.0,8.0,7.6,7.9,8.1,,5.8,6.2,6.7,1.5,2.7,7.2,,,,,0.8,0.1,4.2,,3.7,,,,,,,,,,,0.77,6.2,5.8,3,1
PS38640,1.0,8.6,7.8,8.2,7.1,8.6,7.5,8.6,6.6,7.4,7.9,9.1,8.3,8.2,7.6,8.8,6.4,7.5,8.2,8.0,7.5,5.5,8.3,7.3,6.4,7.7,7.4,6.7,7.0,6.8,7.2,6.9,1.0,7.1,,0.68,6.2,7.2,1,0
PS38659,1.0,8.9,8.5,7.8,7.8,7.7,8.0,8.4,7.8,8.0,7.2,8.3,7.8,7.7,7.6,9.8,8.0,8.0,7.8,8.4,8.1,6.1,9.7,6.7,6.5,7.6,7.1,6.7,7.5,7.8,7.3,7.9,1.0,7.4,,0.67,6.4,7.0,1,1
PS38672,1.0,8.9,8.0,9.2,8.2,8.8,7.6,8.6,8.5,7.0,9.6,9.8,9.9,8.9,9.7,9.0,9.2,6.1,7.4,6.8,7.5,6.0,8.2,,5.1,7.3,,,,,6.7,8.0,1.0,,,0.65,5.6,7.3,2,0
PS38677,1.0,8.3,8.3,6.3,7.0,7.5,7.3,7.4,7.6,7.5,6.7,8.4,7.4,7.4,8.1,9.7,6.5,8.5,6.8,7.4,7.5,5.5,8.1,6.9,5.9,7.9,7.0,6.7,7.2,7.1,7.2,6.8,1.0,7.0,,0.83,5.6,5.3,1,0
PS38683,8.8,8.5,7.0,7.5,6.5,7.4,7.2,6.6,6.8,7.0,5.9,5.1,7.8,5.8,6.3,9.2,5.6,6.0,5.6,7.1,7.7,5.0,6.5,7.5,8.4,5.4,7.5,5.1,5.2,6.1,7.9,6.1,,4.9,,0.76,7.3,5.7,3,0
PS38708,7.0,8.3,6.8,6.7,6.6,7.3,6.4,7.2,7.4,7.0,5.9,6.7,7.8,7.7,6.2,8.8,7.0,6.0,6.7,7.1,7.3,5.3,7.6,5.7,5.9,6.8,7.0,5.1,5.1,5.4,5.9,5.8,,4.9,,0.45,7.1,3.8,2,1
PS38721,9.1,9.0,7.3,8.8,8.1,8.1,7.1,8.4,7.3,7.7,7.3,7.6,7.4,6.8,7.9,8.8,6.3,6.0,7.1,8.4,7.8,7.0,8.7,,6.4,8.0,,,,,9.3,7.6,1.0,,,0.67,6.6,5.6,2,1
PS38725,9.4,8.6,6.7,8.0,7.0,9.1,7.0,7.7,7.9,5.5,9.2,7.2,8.3,7.5,7.6,8.5,6.7,5.5,5.9,6.7,7.4,6.2,6.7,,6.8,7.1,,,,,5.7,7.2,1.0,,,0.66,6.4,5.1,1,0
PS38726,6.7,8.2,5.8,9.2,7.7,7.5,7.1,7.1,4.7,,6.6,5.9,7.5,6.7,5.9,6.7,5.1,4.4,4.2,,6.4,1.0,5.4,,,,,,,,,,,,,0.73,6.6,7.4,3,1
PS38727,1.0,9.0,7.2,7.2,6.8,8.7,6.5,6.9,7.0,6.3,7.1,8.4,8.5,6.0,6.6,9.2,8.8,7.8,7.4,7.7,7.1,7.0,8.2,6.4,6.6,7.8,7.1,6.5,7.6,7.7,6.7,7.1,1.0,6.9,,0.70,6.5,6.4,3,0
PS38735,9.9,9.7,6.8,8.0,7.2,7.8,6.9,6.8,7.3,6.5,9.6,9.2,8.9,8.3,7.9,8.3,8.5,7.5,8.5,9.4,7.5,1.0,9.5,8.6,6.7,8.4,9.2,8.4,9.7,9.7,6.4,7.9,1.0,8.7,,0.81,6.6,5.7,2,0
PS38740,8.5,8.8,8.2,7.2,8.2,7.9,7.5,8.0,8.1,6.9,9.4,8.4,8.8,8.1,7.4,8.3,5.5,5.6,7.5,6.8,7.5,8.0,8.0,,6.8,7.7,,,,,6.4,6.8,1.0,,,0.73,7.5,7.0,2,1
PS38744,9.0,8.9,7.7,7.7,7.0,7.8,6.9,6.3,7.2,6.8,7.8,9.3,7.9,7.9,6.9,8.5,8.5,6.7,7.6,8.9,7.3,9.0,8.3,6.8,6.7,8.7,6.4,6.7,7.1,8.3,6.3,7.5,1.0,7.3,,0.67,6.4,5.0,3,0
PS38753,9.1,8.9,7.8,8.2,7.4,7.5,6.7,6.6,5.6,5.9,8.2,7.9,8.7,8.2,6.9,9.0,5.5,5.3,6.2,6.6,7.2,7.9,7.5,,6.0,7.2,,,,,6.3,7.9,1.0,,,0.85,7.1,5.8,2,1
PS38767,7.6,8.8,8.7,7.7,7.6,8.2,6.5,6.5,5.9,6.4,6.7,8.0,8.1,7.2,6.0,9.8,5.5,5.2,6.2,8.9,7.4,9.0,6.4,7.1,6.7,7.8,6.8,6.3,7.9,7.7,6.5,8.1,1.0,8.4,,0.81,5.0,6.4,3,1
PS38788,8.6,8.4,7.3,7.0,7.0,8.1,6.8,8.0,7.4,6.6,7.0,7.1,8.6,7.1,6.0,8.5,7.5,5.6,6.4,8.9,7.3,8.0,6.5,6.6,6.7,7.9,7.3,6.2,7.4,6.8,6.0,7.5,1.0,8.4,,0.77,6.3,6.5,3,0
PS38793,8.0,8.8,9.2,6.8,6.5,8.5,6.1,7.0,6.2,6.5,9.6,9.8,9.1,8.9,9.2,1.0,7.5,8.7,9.2,8.6,7.7,9.5,9.4,,8.3,8.3,,,,,8.0,8.1,1.0,,,0.39,7.3,7.8,3,1
PS38805,8.5,8.8,7.8,7.8,7.9,7.4,6.8,7.7,7.8,6.4,8.3,8.0,8.8,7.5,6.3,8.7,6.5,5.6,6.5,7.0,7.0,6.9,7.6,,6.5,7.6,,,,,6.7,6.8,1.0,,,0.75,5.5,7.2,2,0
PS38821,7.7,8.1,,5.0,8.1,7.1,6.4,6.5,5.5,5.4,8.4,8.8,8.3,8.9,8.2,,7.5,8.9,9.4,9.3,7.9,9.0,9.3,7.6,7.9,9.3,8.5,7.9,8.8,9.0,7.2,8.0,1.0,8.7,,0.68,5.2,7.2,1,1
PS38870,7.4,9.1,6.8,7.7,8.6,7.9,7.3,7.2,7.4,6.0,7.8,8.8,7.8,6.8,7.7,8.0,7.5,7.6,7.8,9.3,7.1,9.0,8.6,6.5,8.4,7.8,8.2,7.5,9.2,9.7,6.5,7.7,1.0,7.5,,0.66,7.5,6.0,3,0
PS38871,9.5,8.8,7.3,7.8,8.4,7.4,6.6,6.9,7.3,5.6,8.2,7.2,7.7,6.8,6.1,7.5,5.5,5.7,7.1,9.3,7.4,6.0,8.8,5.9,8.3,7.2,6.3,5.9,7.8,8.3,5.9,7.6,1.0,7.0,,0.74,5.6,5.2,2,0
PS38905,7.6,8.3,6.7,*,7.1,8.3,7.5,7.1,6.3,7.2,6.9,6.1,7.6,7.4,5.7,7.2,6.5,6.0,6.2,7.1,6.1,6.0,6.1,6.1,5.7,6.5,5.5,6.6,6.3,6.4,6.9,7.3,1.0,9.0,,0.84,6.5,7.1,1,0
PS38919,6.9,8.8,4.7,8.3,8.0,8.7,7.3,6.7,7.3,,7.1,7.5,7.8,6.8,6.4,8.0,8.0,,5.6,,,1.0,,,,,,,,,,,,,,0.73,7.5,5.4,3,0
PS38930,1.0,9.5,7.2,7.5,8.5,8.8,8.6,8.6,8.6,7.6,8.1,9.6,9.1,8.7,8.6,9.3,8.5,7.7,8.0,9.1,8.1,1.0,9.1,8.2,7.9,9.5,8.1,6.5,9.1,8.1,7.9,7.9,1.0,8.2,,0.77,6.7,6.0,1,0
PS38932,9.7,8.4,6.5,5.7,8.1,8.0,7.5,7.5,7.1,5.6,7.6,8.0,7.7,6.5,5.7,8.2,5.5,5.6,5.7,6.9,7.2,6.0,6.9,5.5,6.3,6.6,5.1,5.1,5.5,5.6,5.8,6.5,,6.5,,0.77,6.7,7.2,1,0
PS38934,7.6,8.5,7.7,7.2,8.3,8.5,7.7,7.4,7.9,6.5,7.0,8.6,8.2,8.1,7.6,8.8,8.5,8.9,6.8,8.5,7.3,8.0,7.9,6.9,6.3,7.6,6.1,6.3,8.5,5.8,6.0,7.5,1.0,7.1,,0.66,7.3,7.1,2,0
